Candidate ID=25922, InsertionTime=8.12619ns
Candidate ID=25429, InsertionTime=0.200966ns
Candidate ID=391, InsertionTime=0.135567ns
Candidate ID=14196, InsertionTime=0.15928ns
Candidate ID=48664, InsertionTime=0.531033ns
Candidate ID=36735, InsertionTime=8.07212ns
Candidate ID=39908, InsertionTime=0.165103ns
Candidate ID=11367, InsertionTime=0.102369ns
Candidate ID=7387, InsertionTime=13.7348ns
Candidate ID=29645, InsertionTime=0.122192ns
Candidate ID=42127, InsertionTime=0.307914ns
Candidate ID=30352, InsertionTime=0.158253ns
Candidate ID=31576, InsertionTime=0.133243ns
Candidate ID=49952, InsertionTime=7.82055ns
Candidate ID=18653, InsertionTime=0.191029ns
Candidate ID=32315, InsertionTime=7.96756ns
Candidate ID=11513, InsertionTime=7.61045ns
Candidate ID=21666, InsertionTime=0.379004ns
Candidate ID=1517, InsertionTime=0.117692ns
Candidate ID=21123, InsertionTime=7.71543ns
Candidate ID=21599, InsertionTime=0.307361ns
Candidate ID=42958, InsertionTime=0.114088ns
Candidate ID=6234, InsertionTime=0.104307ns
Candidate ID=14698, InsertionTime=0.121808ns
Candidate ID=11383, InsertionTime=0.104288ns
Candidate ID=42331, InsertionTime=0.101169ns
Candidate ID=37017, InsertionTime=0.096248ns
Candidate ID=30919, InsertionTime=0.099525ns
Candidate ID=49654, InsertionTime=0.117721ns
Candidate ID=5927, InsertionTime=0.088552ns
Candidate ID=3544, InsertionTime=0.096289ns
Candidate ID=23039, InsertionTime=0.105542ns
Candidate ID=6519, InsertionTime=8.04433ns
Candidate ID=16667, InsertionTime=8.34621ns
Candidate ID=29501, InsertionTime=0.092395ns
Candidate ID=1969, InsertionTime=0.100891ns
Candidate ID=33157, InsertionTime=0.088576ns
Candidate ID=6073, InsertionTime=0.14957ns
Candidate ID=51637, InsertionTime=0.278387ns
Candidate ID=17803, InsertionTime=0.143294ns
Candidate ID=26468, InsertionTime=8.64762ns
Candidate ID=22965, InsertionTime=0.133982ns
Candidate ID=31406, InsertionTime=0.172034ns
Candidate ID=4794, InsertionTime=0.120156ns
Candidate ID=37866, InsertionTime=0.13885ns
Candidate ID=47712, InsertionTime=0.137001ns
Candidate ID=32780, InsertionTime=0.133285ns
Candidate ID=10005, InsertionTime=0.100809ns
Candidate ID=46920, InsertionTime=0.256642ns
Candidate ID=20734, InsertionTime=0.241658ns
Candidate ID=38206, InsertionTime=8.9613ns
Candidate ID=7935, InsertionTime=9.10884ns
Candidate ID=2185, InsertionTime=8.9975ns
Candidate ID=33781, InsertionTime=8.73139ns
Candidate ID=54061, InsertionTime=0.203114ns
Candidate ID=45044, InsertionTime=14.1681ns
Candidate ID=22492, InsertionTime=0.146637ns
Candidate ID=17775, InsertionTime=0.248233ns
Candidate ID=34309, InsertionTime=8.95253ns
Candidate ID=23947, InsertionTime=14.1551ns
Candidate ID=45694, InsertionTime=0.513336ns
Candidate ID=36927, InsertionTime=14.4649ns
Candidate ID=16006, InsertionTime=0.140073ns
Candidate ID=7710, InsertionTime=0.310821ns
Candidate ID=9312, InsertionTime=0.410649ns
Candidate ID=21669, InsertionTime=0.112463ns
Candidate ID=40464, InsertionTime=0.169739ns
Candidate ID=36832, InsertionTime=0.092372ns
Candidate ID=13453, InsertionTime=9.0076ns
Candidate ID=40692, InsertionTime=0.130174ns
Candidate ID=49085, InsertionTime=0.234634ns
Candidate ID=10480, InsertionTime=0.266791ns
Candidate ID=28032, InsertionTime=14.7749ns
Candidate ID=49163, InsertionTime=0.271854ns
Candidate ID=3460, InsertionTime=8.90208ns
Candidate ID=16745, InsertionTime=8.40715ns
Candidate ID=20709, InsertionTime=15.077ns
Candidate ID=18152, InsertionTime=0.16294ns
Candidate ID=24650, InsertionTime=8.38492ns
Candidate ID=34468, InsertionTime=8.39326ns
Candidate ID=13849, InsertionTime=0.147102ns
Candidate ID=23351, InsertionTime=8.64362ns
Candidate ID=36790, InsertionTime=9.10167ns
